# Canonical icon catalog for terminal UIs
# `name` is short and stable; `alias` is an optional qualified compatibility key.
# New rows may leave `alias` empty. Escapes: \s = space (U+0020), \\ = literal backslash.
name	alias	ascii	unicode	nerd_font
cocktail-glass	object.cocktailGlass	drink	🍸	󰍖
code	object.code	code	💻	
code-file	file.code	[src]	📜	
coffin	object.coffin	coffin	⚰	󰭿
collapse	nav.collapse	-	▾	
color-swatch	md.colorSwatch	[]	■	■
comet	object.comet	comet	☄	
comment	comm.comment	//	💬	
comments	comm.comments	///	🗨	
commit	git.commit	commit	●	
commit-node	git.commitNode	-o-	-○-	󰜘
compass	object.compass	N	🧭	
completed	status.completed	[x]	✓	
compress	action.compress	><	🗜	
conf	lang.conf	conf	⚙	
config	file.config	[cfg]	⚙	
confirm	action.confirm	[ok]	✓	
conflict	status.conflict	[!]	⚡	
context	icon.context	ctx:	◫	
context-compaction	context.compaction	|	┃	󰁨
context-file	icon.extensionContextFile	CF	📎	
context-speculation	context.speculation	:	╎	󰕝
context-tab	tab.context	[X]	📋	󰘸
cooked-rice	object.cookedRice	rice	🍚	󰟪
cookie	object.cookie	cookie	🍪	
copy	action.copy	cp	📋	
copyright	object.copyright	(c)	©	
cost	icon.cost	$	💲	
couch-and-lamp	object.couchAndLamp	couch	🛋	
cow	object.cow	cow	🐄	
cow-face	object.cowFace	cow	🐮	
cowboy-face	user.cowboyFace	cowboy	🤠	󰺛
cpp	lang.cpp	cpp	➕	
cpu	device.cpu	cpu	🔲	
credit-card-classic	object.creditCardClassic	card	💳	
cricket	object.cricket	crick	🦗	󰵭
cricket-game	object.cricketGame	crickt	🏏	󰵭
cross	boxSharp.cross	+	┼	┼
cross-mark	status.crossMark	X	❌	
cross-mark-button	status.crossMarkButton	[x]	❎	
crossed-flags	object.crossedFlags	flags	🎌	
crossed-swords	object.crossedSwords	X-swd	⚔	󰞇
crown	object.crown	crown	👑	
crutch	object.crutch	crutch	🩼	
crying-cat	status.cryingCat	cry	😿	
crying-face	object.cryingFace	:'(	😢	
crystal-ball	object.crystalBall	orb	🔮	󰬯
csharp	lang.csharp	cs	♯	
css	lang.css	css	🎨	
csv	lang.csv	csv	📑	󰈛
csv-file	file.csv	[csv]	📊	
cucumber	object.cucumber	cuke	🥒	
cupcake	object.cupcake	cake	🧁	󰥚
curling-stone	object.curlingStone	curl	🥌	󰡣
currency-exchange	object.currencyExchange	exch	💱	
cursor	nav.cursor	>	❯	
cut-meat	object.cutMeat	meat	🥩	
dagger-knife	object.daggerKnife	knife	🗡	󰧻
dash	format.dash	-	—	–
database	device.database	[DB]	🗄	
database-file	file.database	[db]	🗄	
debug	tool.debug	dbg	🐞	
decorative-notebook	object.decorativeNotebook	note	📔	󰠮
default	lang.default	code	⌘	
delete	tool.delete	rm	🗑	
delivery-truck	object.deliveryTruck	truck	🚚	󰔾
desert-island	object.desertIsland	island	🏝	󱁏
desktop	device.desktop	desk	🖥	
diamond-dot	object.diamondDot	<.>	💠	
diamond-suit	object.diamondSuit	<>	♦	
diff	git.diff	diff	±	
diff-gap	diff.gap	...	…	…
diff-indent-space	diff.indentSpace	.	·	·
diff-indent-tab	diff.indentTab	>	→	→
dim-button-five	device.dimButtonFive	dim	🔅	󰃞
disabled	status.disabled	[\s]	⦸	
divide-sign	object.divideSign	/	➗	
diving-mask	object.divingMask	dive	🤿	󱥷
diya-lamp	object.diyaLamp	lamp	🪔	󰚵
dna	object.dna	dna	🧬	
docker	lang.docker	docker	🐳	
dog	object.dog	dog	🐕	
dollar-banknote	object.dollarBanknote	$	💵	
dolphin	object.dolphin	dolph	🐬	󱢴
done	status.done	*	•	•
donkey	object.donkey	donkey	🫏	󰟂
dot	sep.dot	\s-\s	\s·\s	\s·\s
double-exclamation	status.doubleExclamation	!!	‼	
down	nav.down	v	▼	
down-button	nav.downButton	down	🔽	
down-left-arrow	nav.downLeftArrow	dl	↙	󱞡
down-right-arrow	nav.downRightArrow	dr	↘	󱞣
download	action.download	dn	⬇	
draft	status.draft	[D]	📝	
dragon	object.dragon	drgn	🐉	
dragon-face	object.dragonFace	dragon	🐲	
dress	object.dress	dress	👗	
drive	file.drive	[hdd]	💽	
droplet	object.droplet	drop	💧	
drum	object.drum	drum	🥁	
duck	object.duck	duck	🦆	󰇥
ear-listening	object.earListening	listen	👂	
ear-of-corn	object.earOfCorn	corn	🌽	󰞸
earth-africa	object.earthAfrica	earth	🌍	
earth-americas	object.earthAmericas	earth	🌎	
edit	tool.edit	~	✎	
egg	object.egg	egg	🥚	
eight-spoked-asterisk	object.eightSpokedAsterisk	*	✳	
eject	action.eject	^	⏏	
elevator	object.elevator	lift	🛗	󰇭
eleven-oclock	object.elevenOclock	11:00	🕚	󱑉
email-symbol	comm.emailSymbol	email	📧	󰇮
enabled	status.enabled	[x]	●	
end-arrow	object.endArrow	END	🔚	󰑁
enter	nav.enter	enter	↵	
env	lang.env	env	🔧	
envelope-arrow-up-box	comm.envelopeArrowUpBox	mail^	📩	󰛃
error	status.error	[!!]	✘	
euro-banknote	object.euroBanknote	EUR	💶	
eval	tool.eval	>_	▶	
evergreen-pine	object.evergreenPine	pine	🌲	󰐅
ewe-sheep	object.eweSheep	ewe	🐑	󰳆
exa	tool.exa	exa	🔭	
exclamation-question	status.exclamationQuestion	!?	⁉	
exit	nav.exit	exit	🚪	
expand	action.expand	<>	↔	
export	cmd.export	exp	📤	
extension-command	cmd.extension	EX	🧩	
external	nav.external	ext	↗	
eye	object.eye	eye	👁	
eye-off	object.eyeOff	eye-off	🙈	
eye-speech-thought	comm.eyeSpeechThought	think	👁️‍🗨️	󰟶
factory	object.factory	fact	🏭	󰈏
failed	status.failed	[!]	✗	
fast	icon.fast	>>	⚡	
fast-forward-button	action.fastForwardButton	>>	⏩	
fast-reverse	nav.fastReverse	<<	⏪	
fax	device.fax	fax	📠	
feather	object.feather	feath	🪶	
ferris-wheel	object.ferrisWheel	wheel	🎡	󰺤
ferry	object.ferry	ferry	⛴	󰈓
fever-thermometer	object.feverThermometer	fever	🤒	
field-hockey	object.fieldHockey	hock	🏑	
file	icon.file	[F]	📄	
file-diff	git.fileDiff	[F]	▤	
file-download	file.download	[dl]	📥	
file-lock	file.lock	[lock]	🔒	
file-upload	file.upload	[ul]	📤	
files	tab.files	[F]	📁	󰈔
film-frames	object.filmFrames	film	🎞	
film-projector	object.filmProjector	film	📽	󰐮
filter	action.filter	[flt]	🔻	
fingerprint	security.fingerprint	fp	👆	
fire	object.fire	fire	🔥	
fire-engine-flame	object.fireEngineFlame	fire	🚒	
fire-extinguisher	object.fireExtinguisher	fire-x	🧯	
first	nav.first	|<	⇤	
first-place-medal	object.firstPlaceMedal	#1	🥇	
first-quarter-moon	object.firstQuarterMoon	moon	🌓	󰽡
fish	object.fish	fish	🐟	
fishing-pole	object.fishingPole	fish	🎣	
flag	object.flag	flag	🚩	
flashlight	object.flashlight	light	🔦	󰉄
flask	object.flask	flask	🧪	
flat-shoe-sneaker	object.flatShoeSneaker	shoe	🥿	󱗈
fleur-de-lis	object.fleurDeLis	fleur	⚜	󱌃
flower-playing-cards	object.flowerPlayingCards	cards	🎴	󱢡
fly	object.fly	fly	🪰	
flying-disc	object.flyingDisc	disc	🥏	󰗮
fog	status.fog	fog	🌫	
foggy-weather	object.foggyWeather	fog	🌁	
folded-hands-praying	object.foldedHandsPraying	pray	🙏	
folder	icon.folder	[D]	📁	
folder-closed	file.folderClosed	[D]	📁	
folder-minus	cmd.folderMinus	dir-	📁	󰉘
folder-move	cmd.folderMove	dir>	📂	󰉒
folder-open	file.folderOpen	[O]	📂	
folder-plus	cmd.folderPlus	dir+	📁	󰉗
food-pot	object.foodPot	pot	🍲	󰋥
footprints	object.footprints	steps	👣	
fork	git.fork	fork	⑂	
fork-and-knife	object.forkAndKnife	F+K	🍴	󰩰
formal-shoe	object.formalShoe	shoe	👞	󰭇
fortune-cookie	object.fortuneCookie	luck	🥠	
fountain	object.fountain	fount	⛲	󰥫
fountain-pen	object.fountainPen	pen	🖋	󰴒
four-leaf-clover	object.fourLeafClover	luck	🍀	󰠖
french-fries	object.frenchFries	fries	🍟	󱥗
fried-egg	object.friedEgg	egg	🍳	󱡊
frog	object.frog	frog	🐸	
frowning-face	status.frowningFace	:(	☹	
fuel-pump	object.fuelPump	fuel	⛽	
full-moon	object.fullMoon	moon	🌕	󰽢
game-die	object.gameDie	die	🎲	
gamepad	object.gamepad	pad	🎮	
garden-house	object.gardenHouse	house	🏡	
gear	object.gear	gear	⚙	
gemini	object.gemini	Gem	♊	󰪁
gh	tool.gh	gh	⎇	
ghost	icon.ghost	@	👻	󰊠
gift	object.gift	gift	🎁	
git	icon.git	git:	⎇	
glasses	object.glasses	glass	👓	
globe	object.globe	globe	🌐	
gloves-boxing	object.glovesBoxing	glove	🧤	󰭥
glowing-star-weather	object.glowingStarWeather	glow	🌟	
go	lang.go	go	🐹	
goal	icon.goal	goal	🎯	
goal-net-octicon	object.goalNetOcticon	goal	🥅	
goal-tool	tool.goal	(o)	◎	
graduation-cap	object.graduationCap	grad	🎓	
grapes	object.grapes	grape	🍇	󱁄
green-square	object.greenSquare	[grn]	🟩	
grid	object.grid	grid	▦	
grin-big-eyes-grimace	status.grinBigEyesGrimace	:D	😃	
grin-grimace	status.grinGrimace	:-D	😀	
grin-sweat	object.grinSweat	:D'	😅	
grinning-cat	object.grinningCat	cat	😺	
grinning-smile	status.grinningSmile	:-D	😄	
group	user.group	group	👥	
guide-dog-service	object.guideDogService	dog	🦮	󰪭
guitar	object.guitar	guitar	🎸	
hamburger	object.hamburger	burger	🍔	󰚅
hammer	object.hammer	hammer	🔨	
hammer-and-pick	object.hammerAndPick	tools	⚒	
hamsa	object.hamsa	hamsa	🪬	
hand-lizard	object.handLizard	lizard	🦎	
hand-over-mouth	action.handOverMouth	shh	🤭	
handbag	object.handbag	bag	👜	󰸐
handoff	cmd.handoff	->>	➦	
handshake	object.handshake	shake	🤝	
head-bandage	object.headBandage	bandg	🤕	
headphones	object.headphones	phones	🎧	
hearing-aid	device.hearingAid	hear+	🦻	󰟅
heart	object.heart	heart	❤	
heart-exclamation-thick	status.heartExclamationThick	<!>	❣	󱈸
heart-eyes-grin-hearts	object.heartEyesGrinHearts	<3	😍	
heart-hands	object.heartHands	heart	🫶	󱃱
heart-suit-beat	object.heartSuitBeat	<3	♥	
heavy-equals	object.heavyEquals	==	🟰	
helicopter	object.helicopter	heli	🚁	
help	object.help	help	❓	
hidden	file.hidden	[.]	🙈	
high	thinking.high	[high]	◒\shigh	󰪣\shigh
high-heel	object.highHeel	heel	👠	󰭈
high-speed-train	object.highSpeedTrain	train	🚄	
hiking-boot	object.hikingBoot	boot	🥾	󰵿
history	git.history	hist	📜	
hockey-puck	object.hockeyPuck	puck	🏒	
hollow-red-circle	object.hollowRedCircle	(o)	⭕	
home	nav.home	home	🏠	
honey-pot	object.honeyPot	honey	🍯	󰋥
honeybee	object.honeybee	bee	🐝	󰾡
hook	icon.extensionHook	HK	🪝	
horse	object.horse	horse	🐎	
horse-face	object.horseFace	horse	🐴	
hospital	object.hospital	hosp	🏥	
host	icon.host	host	🖥	
hot-dog	object.hotDog	hotdog	🌭	
hot-face	status.hotFace	hot	🥵	
hot-pepper	object.hotPepper	hot	🌶	
hot-springs	object.hotSprings	hot	♨	
hotel	object.hotel	hotel	🏨	
hourglass	object.hourglass	hour	⌛	
houses	object.houses	homes	🏘	
hr-char	md.hrChar	-	─	─
html	lang.html	html	🌐	
hunk	git.hunk	[-]	⊟	
ice-cream	object.iceCream	icecrm	🍨	
ice-cube	object.iceCube	ice	🧊	
ice-skate	object.iceSkate	skate	⛸	󰴵
identification-card	object.identificationCard	ID	🪪	
idle	status.idle	[-]	○	
image	object.image	img	🖼	
image-file	file.image	[img]	🖼	
image-language	lang.image	img	🖼	󰈟
inbox	comm.inbox	inbox	📥	
incoming-envelope-open	comm.incomingEnvelopeOpen	mail	📨	
infinity	object.infinity	inf	♾	
info	object.info	info	ℹ	
info-status	status.info	[i]	ⓘ	
ini	lang.ini	ini	⚙	
inline	git.inline	[=]	≡	
input	icon.input	in:	⤵	
input-numbers	action.inputNumbers	123	🔢	
input-symbols	object.inputSymbols	@#$	🔣	󱔁
inspect-image	tool.inspectImage	[i]	🖼	
instruction	icon.extensionInstruction	IN	📘	
interaction	tab.interaction	[I]	⌨	󰌌
irc	tool.irc	irc	✉	
issue	git.issue	issue	⚠	
issue-closed	git.issueClosed	iss:closed	☑	
issue-open	git.issueOpen	iss:open	☉	
japanese-castle	object.japaneseCastle	castle	🏯	󰄚
java	lang.java	java	☕	
javascript	lang.javascript	js	🟨	
jellyfish	object.jellyfish	jelly	🪼	󰼁
job	icon.job	bg	⚙	
job-tool	tool.job	job	⚙	
json	lang.json	json	🧾	
julia	lang.julia	jl	Ⓙ	
kaaba	object.kaaba	kaaba	🕋	
kangaroo	object.kangaroo	roo	🦘	󱕘
kebab	nav.kebab	...	⋮	
key	security.key	key	🔑	
keyboard	device.keyboard	kbd	⌨	
keycap-asterisk	object.keycapAsterisk	[*]	*⃣	
keycap-hash	action.keycapHash	#	#⃣	
khanda	object.khanda	khanda	🪯	
kick-scooter	object.kickScooter	scoot	🛴	󱖽
kissing-cat	status.kissingCat	kiss	😽	
kissing-face	object.kissingFace	kiss	😙	
kitchen-knife	object.kitchenKnife	knife	🔪	󰧻
kite	object.kite	kite	🪁	󱦅
koala	object.koala	koala	🐨	󱜿
kotlin	lang.kotlin	kt	🅺	
ladder	object.ladder	ladder	🪜	󱖢
landslide	status.landslide	slide	🛘	󱩈
language	object.language	lang	🌐	
laptop	device.laptop	laptop	💻	
large-blue-diamond	object.largeBlueDiamond	DIA	🔷	
large-square-black	object.largeSquareBlack	[#]	⬛	
last	nav.last	>|	⇥	
last-quarter-moon	object.lastQuarterMoon	moon	🌗	󰽣
latin-cross	object.latinCross	cross	✝	
latin-letters-input	object.latinLettersInput	ABC	🔤	󱌯
launch	tool.launch	run	🚀	
launch-pending	status.launchPending	[*]	⏳	󱑍
leafless-tree	object.leaflessTree	tree	🪾	
leafy-green	object.leafyGreen	leaf	🥬	
left	nav.left	<	◀	
left-arrow-solid	nav.leftArrowSolid	<-	⬅	
left-fist	object.leftFist	fist<	🤛	
left-luggage-suitcase	object.leftLuggageSuitcase	bag	🛅	
leftwards-hand	object.leftwardsHand	<-	🫲	
lemon	object.lemon	lemon	🍋	
level-slider	object.levelSlider	----	🎚	
light-rail	object.lightRail	LRT	🚈	󰼞
lightbulb	object.lightbulb	bulb	💡	
link	action.link	ln	🔗	
linked-paperclips	object.linkedPaperclips	clips	🖇	
lipstick	object.lipstick	lip	💄	󱎵
list	object.list	list	📋	
location	object.location	loc	📍	
lock	action.lock	[L]	🔒	
locked	status.locked	[L]	🔒	
locked-pen	security.lockedPen	lock+p	🔏	
locked-with-key-door	security.lockedWithKeyDoor	lock	🔐	󱂯
locomotive	object.locomotive	train	🚂	
log	lang.log	log	📜	󰌱
log-in	nav.login	->]	🔑	󰍂
lollipop	object.lollipop	lolly	🍭	
long-drum	object.longDrum	drum	🪘	
loop	icon.loop	loop	↻	
lotion-bottle	object.lotionBottle	lotion	🧴	󱖂
loudspeaker-volume	comm.loudspeakerVolume	loud	📢	
love-hotel	object.loveHotel	hotel	🏩	
love-letter	comm.loveLetter	<3msg	💌	
low	thinking.low	[low]	◔\slow	󰪟\slow
low-battery	status.lowBattery	[!]	🪫	󱊡
lower-half		#	▄	▄
lsp	tool.lsp	lsp	💡	
lua	lang.lua	lua	🌙	
luggage	object.luggage	bag	🧳	
lungs	object.lungs	lungs	🫁	
magic-wand	object.magicWand	magic	🪄	
magnet	object.magnet	magnet	🧲	
mail	comm.mail	mail	✉	
mailbox-lowered	comm.mailboxLowered	mail-	📭	󰛮
mailbox-raised	comm.mailboxRaised	mail+	📬	󰶍
manual-wheelchair	object.manualWheelchair	chair	🦽	
map	object.map	map	🗺	
maple-leaf	object.mapleLeaf	maple	🍁	
markdown	lang.markdown	md	📝	
markdown-bullet	md.bullet	*	•	
martial-arts-uniform	object.martialArtsUniform	karate	🥋	󰶏
max	thinking.max	[max]	◉\smax	\smax
maximize	action.maximize	[+]	🗖	
mcp	tool.mcp	<>	🔌	
mcp-extension	icon.extensionMcp	MCP	🔌	
meat-on-bone	object.meatOnBone	meat	🍖	
medical-mask	object.medicalMask	mask	😷	
medical-symbol-generic	object.medicalSymbolGeneric	med	⚕	󱔁
medium	thinking.medium	[med]	◑\smed	󰪡\smed
medium-small-square-black	object.mediumSmallSquareBlack	[#]	◾	󰨕
medium-square	object.mediumSquare	[]	◻	󰨓
megaphone-cod	comm.megaphoneCod	mega	📣	
memory	device.memory	ram	🧠	
memory-tab	tab.memory	[Y]	🧠	󰧑
memory-tool	tool.memory	mem	🧠	
menorah	object.menorah	menora	🕎	
mens-room	object.mensRoom	men	🚹	󰩞
mention	comm.mention	@	@	
menu	nav.menu	menu	☰	
merge	git.merge	merge	🔀	
mic	icon.mic	MIC	🎤	
microscope	object.microscope	micro	🔬	
middle-finger	action.middleFinger	finger	🖕	
military-helmet-safety	object.militaryHelmetSafety	helm	🪖	
military-medal	object.militaryMedal	medal	🎖	
milk-glass-font-awesome	object.milkGlassFontAwesome	milk	🥛	
minimal	thinking.minimal	[min]	○\smin	󰪞\smin
minimize	action.minimize	[-]	🗕	
minus-solid	action.minusSolid	-	➖	
mirror	object.mirror	mirror	🪞	󱇽
mirror-ball	object.mirrorBall	ball	🪩	󱇽
mobile	device.mobile	phone	📱	
mobile-arrow-down	device.mobileArrowDown	ph-dn	📲	󰧕
mobile-phone-off	device.mobilePhoneOff	phone-	📴	
model	icon.model	[M]	⬢	
model-tab	tab.model	[M]	🤖	󰚩
money-bag	object.moneyBag	money	💰	
moon-cake	object.moonCake	cake	🥮	
moon-face-first-quarter	object.moonFaceFirstQuarter	moon1q	🌛	󰽡
more	nav.more	...	…	
mosque	object.mosque	mosque	🕌	
motor-boat-sailboat	object.motorBoatSailboat	boat	🛥	󰻈
motor-scooter	object.motorScooter	scoot	🛵	󱖽
motorcycle	object.motorcycle	moto	🏍	
motorized-wheelchair	device.motorizedWheelchair	chair	🦼	󱎍
motorway	object.motorway	hwy	🛣	󰗷
mountain	object.mountain	mount	⛰	
mountain-railway	object.mountainRailway	rail	🚞	
mountain-sunrise	object.mountainSunrise	rise	🌄	
mouse	device.mouse	mouse	🖱	
mouse-animal	object.mouseAnimal	mouse	🐁	󰍽
mouth-lips	object.mouthLips	lips	👄	
move	tool.move	mv	➜	
multiply-sign	action.multiplySign	x	✖	󰎂
mushroom	object.mushroom	shroom	🍄	󰟟
musical-keyboard-font-awesome	object.musicalKeyboardFontAwesome	keys	🎹	
musical-notes	object.musicalNotes	notes	🎶	󰎚
muted	comm.muted	mute	🔇	
name-badge	object.nameBadge	ID	📛	
nav-expand	nav.expand	+	▸	
nest-eggs	object.nestEggs	nest	🪺	
new	action.new	+	✨	
new-moon	object.newMoon	moon	🌑	󰽤
newspaper	object.newspaper	news	📰	
next	nav.next	>	▶	
no-bicycle	object.noBicycle	no bik	🚳	
no-entry	status.noEntry	[no]	⛔	
no-mobile	device.noMobile	no ph	📵	
no-smoking	status.noSmoking	no-smk	🚭	󰒵
notebook	object.notebook	note	📓	󰠮
nut-and-bolt-nut	object.nutAndBoltNut	nut	🔩	󰛸
office-building	object.officeBuilding	office	🏢	
oil-drum	object.oilDrum	oil	🛢	
ok-button	status.okButton	OK	🆗	
okay-hand	object.okayHand	OK	👌	󰩐
om	object.om	om	🕉	
omp	icon.omp	pi	π	󰵗
on-arrow	nav.onArrow	on	🔛	󰁁
oncoming-automobile	object.oncomingAutomobile	car	🚘	
oncoming-bus	object.oncomingBus	bus	🚍	
oncoming-fist	action.oncomingFist	fist	👊	
oncoming-taxi	object.oncomingTaxi	taxi	🚖	
one	user.one	user	👤	
one-piece-swimsuit	object.onePieceSwimsuit	swim	🩱	󰓣
